CITY	STOP	ADDRESS	W3W	SPONSORING_GROUP	DAY	SETUP_TIME	LAST_RIDER	DEPARTURE
University Hts	John Carroll University	1 John Carroll Boulevard	cherry.chip.only		07/23/26
Edgewater Park	Edgewater Park			Relay For Life crew	07/23/26	8:15 AM	10:45 AM	11:00 AM
Berea	Wallace Lake	Valley Parkway		Ken Knabe?	07/23/26	9:15 AM	12:00 PM	12:15 PM
Valley City	Mill Stream Park	1200 Maple Street			07/23/26	10:00 AM	1:30 PM	1:45 PM
Medina	Krabill Lodge	7597 Ballash Road			07/23/26	11:00 AM	3:30 PM	3:45 PM
	Canaan Township Service Center				07/23/26	11:30 AM	4:30 PM	4:45 PM
Wooster	College of Wooster	1189 Beall Avenue	robot.tips.rash		07/24/26
Millersburg	Hipp Station	62 North Grant Street		Jody Schaum and ACS Can	07/24/26	6:30 AM	10:00 AM	10:15 AM
Glenmont	Glenmont Pavilion	Holmes County Trail Pavilion			07/24/26	7:15 AM	12:00 PM	12:15 PM
Danville	Memorial Park - Danville	802 S. Market Street	degrees.comfort.eaters	Astra Zeneca	07/24/26	7:30 AM	1:30 PM	1:45 PM
Mount Vernon	Ariel Foundation Park	10 Pittsburgh Avenue	rent.twins.salsa	Ariel Employees	07/24/26	9:00 AM	2:30 PM	2:45 PM
Centerburg	Memorial Park - Centerburg	21 OH-314	fluttering.temperature.agent		07/24/26	10:15 AM	3:30 PM	3:45 PM
Galena	Miller Park	254 North Walnut Street	classifies.motivator.retreat	Buckeye Innovation	07/24/26	11:00 AM	4:30 PM	4:45 PM
Westerville	Otterbein University	100 West Home Street	that.holds.seat		07/25/26
Columbus	OSU Location			The James	07/25/26	6:00 AM	10:00 AM	10:15 AM
Galloway	Battelle Darby Creek Metro Park	8465 Alkire Road			07/25/26	7:00 AM	11:00 AM	11:15 AM
London	Prairie Grass Trailhead	262 West High Street	formed.accuse.fatherhood		07/25/26	8:30 AM	12:30 PM	12:45 PM
South Charleston	First Presbyterian Church	15 North Chillicothe Street	portray.aviation.mandolin		07/25/26	9:00 AM	2:00 PM	2:15 PM
Yellow Springs	Yellow Springs			Riverside Research	07/25/26	9:45 AM	3:30 PM	3:45 PM
Dayton	WSU - Student Union	3640 Colonel Glenn Hwy	converged.portfolio.requirement		07/26/26
Xenia	Xenia Station	150 South Miami Avenue	prove.hats.grows		07/26/26	6:00 AM	9:30 AM	9:45 AM
Corwin	Corwin	South Maple Street	fades.traditional.installing		07/26/26	6:45 AM	11:00 AM	11:15 AM
Morrow	Morrow Station	240 Main Street	jaguars.chained.musical		07/26/26	7:30 AM	1:00 PM	1:15 PM
Foster	Fosters Landing (Monkey Bar)	Old 3C Highway	gone.stand.undulation		07/26/26	8:30 AM	1:30 PM	1:45 PM
Miamiville	Miamiville Trailyard	368 Center Street	retired.reactions.inviting	Jim Slaton's Crew	07/26/26	9:00 AM	2:30 PM	2:45 PM
Cincinnati	Lunken Airport	4500 Airport Road	cooks.hopes.gather		07/26/26
